Date,Lag06,Lag05,Lag04,Lag03,Lag02,Lag01,Close
2019-01-10,0.06622912135648742,0.0,0.08958076353438618,0.1084987604965694,0.1348453709914008,0.14608964112846462,0.15853814355632415
2019-01-11,0.0,0.08958076353438618,0.1084987604965694,0.1348453709914008,0.14608964112846462,0.15853814355632415,0.15813326324984606
2019-01-14,0.08958076353438618,0.1084987604965694,0.1348453709914008,0.14608964112846462,0.15853814355632415,0.15813326324984606,0.14358516051812237
2019-01-15,0.1084987604965694,0.1348453709914008,0.14608964112846462,0.15853814355632415,0.15813326324984606,0.14358516051812237,0.1730971739625747
2019-01-16,0.1348453709914008,0.14608964112846462,0.15853814355632415,0.15813326324984606,0.14358516051812237,0.1730971739625747,0.17927888153229374
2019-01-17,0.14608964112846462,0.15853814355632415,0.15813326324984606,0.14358516051812237,0.1730971739625747,0.17927888153229374,0.20044557606206145
2019-01-18,0.15853814355632415,0.15813326324984606,0.14358516051812237,0.1730971739625747,0.17927888153229374,0.20044557606206145,0.2374822180021103
2019-01-22,0.15813326324984606,0.14358516051812237,0.1730971739625747,0.17927888153229374,0.20044557606206145,0.2374822180021103,0.19718415708368964
2019-01-23,0.14358516051812237,0.1730971739625747,0.17927888153229374,0.20044557606206145,0.2374822180021103,0.19718415708368964,0.20336586465340867
2019-01-24,0.1730971739625747,0.17927888153229374,0.20044557606206145,0.2374822180021103,0.19718415708368964,0.20336586465340867,0.20723486361444177
2019-01-25,0.17927888153229374,0.20044557606206145,0.2374822180021103,0.19718415708368964,0.20336586465340867,0.20723486361444177,0.23114074448418692
2019-01-28,0.20044557606206145,0.2374822180021103,0.19718415708368964,0.20336586465340867,0.20723486361444177,0.23114074448418692,0.20885490495204495
2019-01-29,0.2374822180021103,0.19718415708368964,0.20336586465340867,0.20723486361444177,0.23114074448418692,0.20885490495204495,0.2047514603172221
2019-01-30,0.19718415708368964,0.20336586465340867,0.20723486361444177,0.23114074448418692,0.20885490495204495,0.2047514603172221,0.24850271114986835
2019-01-31,0.20336586465340867,0.20723486361444177,0.23114074448418692,0.20885490495204495,0.2047514603172221,0.24850271114986835,0.2730695143588922
2019-02-01,0.20723486361444177,0.23114074448418692,0.20885490495204495,0.2047514603172221,0.24850271114986835,0.2730695143588922,0.2756593412476988
2019-02-04,0.23114074448418692,0.20885490495204495,0.2047514603172221,0.24850271114986835,0.2730695143588922,0.2756593412476988,0.29520625556151175
2019-02-05,0.20885490495204495,0.2047514603172221,0.24850271114986835,0.2730695143588922,0.2756593412476988,0.29520625556151175,0.308880326583332
2019-02-06,0.2047514603172221,0.24850271114986835,0.2730695143588922,0.2756593412476988,0.29520625556151175,0.308880326583332,0.3023897547358857
2019-02-07,0.24850271114986835,0.2730695143588922,0.2756593412476988,0.29520625556151175,0.308880326583332,0.3023897547358857,0.2751477772937884
2019-02-08,0.2730695143588922,0.2756593412476988,0.29520625556151175,0.308880326583332,0.3023897547358857,0.2751477772937884,0.2770980192122843
2019-02-11,0.2756593412476988,0.29520625556151175,0.308880326583332,0.3023897547358857,0.2751477772937884,0.2770980192122843,0.2791445372153764
